,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
134,Hithadhoo,MV,80.94,overcast clouds,-0.6,73.0833,Scoop Guest House
137,Gualeguay,AR,83.14,clear sky,-33.1416,-59.3097,Cabañas Nuestro Refugio
138,Lodwar,KE,84.34,scattered clouds,3.1191,35.5973,Turkwel Lodge
140,Hilo,US,80.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
145,Barra Do Corda,BR,76.62,light rain,-5.5,-45.25,Belchior Palace Hotel
150,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
152,Ariquemes,BR,76.98,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
154,Mancio Lima,BR,89.6,light rain,-7.6142,-72.8958,Hotel e Distribuidora Voyage
162,Clearlake,US,80.01,clear sky,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
164,Sechura,PE,80.4,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
169,Atuona,PF,78.51,scattered clouds,-9.8,-139.0333,Villa Enata
176,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
184,Tarauaca,BR,82.4,light rain,-8.1614,-70.7656,Flat Temporada
