City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
191,San Vicente,69,AR,2021-01-14 17:40:22,85,-26.6167,-54.1333,76.14,3.78
192,Hamilton,1,US,2021-01-14 17:39:58,61,39.1834,-84.5333,44.6,10.36
193,Rio Gallegos,75,AR,2021-01-14 17:40:22,42,-51.6226,-69.2181,68.0,16.11
194,Bilma,0,NE,2021-01-14 17:40:22,26,18.6853,12.9164,66.76,4.07
195,North Bend,1,US,2021-01-14 17:40:22,87,43.4065,-124.2243,48.99,6.91
196,Vila Franca Do Campo,75,PT,2021-01-14 17:40:22,94,37.7167,-25.4333,63.0,12.66
197,Bathsheba,75,BB,2021-01-14 17:40:22,83,13.2167,-59.5167,78.8,23.02
198,Kirakira,92,SB,2021-01-14 17:40:22,77,-10.4544,161.9205,80.91,7.31
199,Airai,100,TL,2021-01-14 17:40:22,100,-8.9266,125.4092,62.62,0.83
200,Port-Gentil,40,GA,2021-01-14 17:40:23,78,-0.7193,8.7815,82.4,8.05
201,Sistranda,20,NO,2021-01-14 17:40:23,93,63.7256,8.834,19.4,12.66
202,Talnakh,21,RU,2021-01-14 17:40:23,79,69.4865,88.3972,-38.56,3.13
203,Beloha,9,MG,2021-01-14 17:36:51,82,-25.1667,45.05,76.66,12.15
204,Ahipara,12,NZ,2021-01-14 17:36:35,91,-35.1667,173.1667,61.79,6.26
205,Andenes,75,NO,2021-01-14 17:40:23,93,69.3143,16.1194,35.6,16.11
206,Manakara,30,MG,2021-01-14 17:40:23,90,-22.1333,48.0167,79.12,2.46
207,Cape Town,0,ZA,2021-01-14 17:38:40,60,-33.9258,18.4232,75.99,6.91
208,Bosaso,29,SO,2021-01-14 17:40:23,69,11.2842,49.1816,74.86,6.11
209,Balas,75,PH,2021-01-14 17:40:23,88,15.0335,120.6059,75.2,4.61
210,Boddam,75,GB,2021-01-14 17:40:23,87,57.4667,-1.7833,39.2,10.36
211,Saint George,1,US,2021-01-14 17:40:23,30,37.1041,-113.5841,41.0,2.3
212,Mount Isa,97,AU,2021-01-14 17:40:23,36,-20.7333,139.5,80.6,5.75
213,Brae,40,GB,2021-01-14 17:40:23,61,60.3964,-1.353,42.8,16.11
214,Arkhangelsk,20,RU,2021-01-14 17:40:24,75,64.5401,40.5433,-29.2,2.24
215,Salinopolis,29,BR,2021-01-14 17:39:10,75,-0.6136,-47.3561,82.42,13.65
216,San Cristobal,40,VE,2021-01-14 17:40:24,45,7.7669,-72.225,87.8,8.05
217,Usinsk,59,RU,2021-01-14 17:40:24,87,65.9939,57.5281,-19.41,9.51
218,Seoul,0,KR,2021-01-14 17:39:45,74,37.5683,126.9778,28.4,2.3
219,Panzhihua,0,CN,2021-01-14 17:40:24,69,26.5851,101.7128,46.06,1.63
220,Tanete,100,ID,2021-01-14 17:40:24,91,-3.9443,119.7848,75.79,2.64
221,Tutoia,40,BR,2021-01-14 17:40:24,66,-2.7619,-42.2744,87.8,17.27
222,Sechura,98,PE,2021-01-14 17:40:24,54,-5.5569,-80.8222,79.92,8.75
223,Sambava,15,MG,2021-01-14 17:40:24,85,-14.2667,50.1667,80.01,5.28
224,Huntington,1,US,2021-01-14 17:38:20,57,38.4193,-82.4452,51.01,6.91
225,Saint-Philippe,40,RE,2021-01-14 17:40:24,83,-21.3585,55.7679,80.6,2.3
226,Sakaiminato,20,JP,2021-01-14 17:36:07,100,35.55,133.2333,33.8,7.85
227,Carnarvon,0,AU,2021-01-14 17:36:16,94,-24.8667,113.6333,78.8,19.57
228,Qostanay,0,KZ,2021-01-14 17:40:24,77,53.1667,63.5833,-13.0,8.95
229,Mahebourg,20,MU,2021-01-14 17:36:17,78,-20.4081,57.7,78.8,3.44
230,Coruripe,89,BR,2021-01-14 17:40:25,63,-10.1256,-36.1756,84.11,16.98
231,Alofi,82,NU,2021-01-14 17:40:25,100,-19.0595,-169.9187,75.2,3.44
232,Slave Lake,0,CA,2021-01-14 17:40:25,59,55.2834,-114.769,28.4,19.57
233,Barcelona,0,ES,2021-01-14 17:36:59,70,41.3888,2.159,46.0,10.36
234,Port Hedland,34,AU,2021-01-14 17:38:21,89,-20.3167,118.5667,86.0,3.44
235,Tautira,75,PF,2021-01-14 17:40:25,74,-17.7333,-149.15,82.4,2.3
236,Sao Joao Da Barra,20,BR,2021-01-14 17:40:25,54,-21.6403,-41.0511,86.0,14.97
237,Bolobo,98,CD,2021-01-14 17:40:25,88,-2.1667,16.2333,74.53,3.67
238,Santa Cruz,75,BO,2021-01-14 17:40:25,78,-17.8,-63.1667,80.6,8.05
239,Mubende,68,UG,2021-01-14 17:40:25,49,0.5606,31.39,70.88,2.08
240,Kilakarai,99,IN,2021-01-14 17:40:25,84,9.2333,78.7833,77.92,12.93
241,Robertsport,1,LR,2021-01-14 17:40:25,78,6.7533,-11.3686,81.77,10.27
242,Broome,90,US,2021-01-14 17:40:25,86,42.2506,-75.833,37.0,8.05
243,Shingu,87,JP,2021-01-14 17:40:26,68,33.7333,135.9833,43.79,5.66
244,Champerico,75,GT,2021-01-14 17:40:26,66,14.3,-91.9167,86.0,4.61
245,Richards Bay,79,ZA,2021-01-14 17:37:18,81,-28.783,32.0377,76.33,7.18
246,Bacolod,86,PH,2021-01-14 17:40:26,88,10.6667,122.95,77.0,10.09
247,Toamasina,40,MG,2021-01-14 17:40:26,83,-18.1667,49.3833,82.4,3.44
248,Ovsyanka,75,RU,2021-01-14 17:40:26,78,55.9575,92.5519,5.0,15.66
249,Atar,75,MR,2021-01-14 17:40:26,17,20.5169,-13.0499,74.98,17.25
250,Tekeli,0,KZ,2021-01-14 17:40:26,65,44.83,78.8239,11.23,8.3
251,Antalaha,66,MG,2021-01-14 17:40:26,83,-14.9003,50.2788,79.86,2.06
252,Hammerfest,75,NO,2021-01-14 17:40:26,93,70.6634,23.6821,33.8,10.36
253,Elko,72,US,2021-01-14 17:40:26,62,41.0002,-115.5012,34.0,1.01
254,Poya,100,NC,2021-01-14 17:40:26,93,-21.35,165.15,76.24,5.64
255,Qaanaaq,48,GL,2021-01-14 17:35:51,71,77.484,-69.3632,2.8,5.21
256,Moree,55,AU,2021-01-14 17:40:26,68,-29.4667,149.85,71.6,16.11
257,Krasnoselkup,60,RU,2021-01-14 17:37:01,79,65.7,82.4667,-27.72,2.13
258,Pitimbu,75,BR,2021-01-14 17:40:27,58,-7.4706,-34.8086,87.8,11.5
259,Manzhouli,0,CN,2021-01-14 17:40:27,85,49.6,117.4333,-16.51,8.16
260,Bubaque,0,GW,2021-01-14 17:36:39,70,11.2833,-15.8333,78.53,11.77
261,Moramanga,91,MG,2021-01-14 17:40:27,94,-18.9333,48.2,70.48,5.55
262,Souillac,20,MU,2021-01-14 17:40:27,78,-20.5167,57.5167,78.8,3.44
263,San Borja,98,BO,2021-01-14 17:40:27,88,-14.8167,-66.85,82.69,1.66
264,Salalah,0,OM,2021-01-14 17:40:27,13,17.0151,54.0924,78.8,6.91
265,Coahuayana,75,MX,2021-01-14 17:40:27,53,18.7333,-103.6833,75.2,6.13
266,Pafos,40,CY,2021-01-14 17:37:14,59,34.7667,32.4167,60.8,23.02
267,Whitecourt,20,CA,2021-01-14 17:40:27,68,54.1502,-115.6855,21.2,8.05
268,Naryan-Mar,65,RU,2021-01-14 17:40:27,85,67.6713,53.087,-14.06,10.04
269,Leningradskiy,100,RU,2021-01-14 17:37:22,92,69.3833,178.4167,-0.24,11.23
270,Ukiah,90,US,2021-01-14 17:37:18,82,39.1502,-123.2078,62.01,5.75
271,Baymak,100,RU,2021-01-14 17:40:28,90,52.5933,58.3225,-9.81,11.1
272,Batticaloa,69,LK,2021-01-14 17:40:28,83,7.7102,81.6924,79.52,4.68
273,Quatre Cocos,20,MU,2021-01-14 17:36:07,78,-20.2078,57.7625,78.8,3.44
274,Tambopata,75,PE,2021-01-14 17:40:28,94,-12.7333,-69.1833,75.2,3.44
275,Makakilo City,90,US,2021-01-14 17:40:28,83,21.3469,-158.0858,73.4,4.61
276,Bengkulu,100,ID,2021-01-14 17:40:28,84,-3.8004,102.2655,77.14,5.44
277,Umm Kaddadah,4,SD,2021-01-14 17:40:28,22,13.6017,26.6876,72.01,10.89
278,Tamale,69,GH,2021-01-14 17:40:28,11,9.4008,-0.8393,89.64,4.61
279,Klyuchevskiy,0,RU,2021-01-14 17:40:28,84,53.5317,119.4519,-22.59,2.33
280,Prince Rupert,90,CA,2021-01-14 17:39:36,81,54.3161,-130.3201,41.0,13.8
281,Kursenai,0,LT,2021-01-14 17:40:28,86,55.985,22.9189,17.6,8.05
282,San Quintin,0,MX,2021-01-14 17:36:57,33,30.4833,-115.95,68.41,1.34
283,Singaparna,100,ID,2021-01-14 17:40:29,84,-7.3515,108.111,72.34,1.66
